"2017-08-28 10:06:30",A121-18849/17(2.1.15-S4),Justiniškių,"DĖL DAUGIABUČIO GYVENAMO NAMO REMONTO DARBŲ EIGOS","Files/Justiniškių/2017/08/28/47305641/Pil. M. Gaurienės prašymas.pdf"
"2017-08-24 14:41:05",A32-1949/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017.08.24","Files/Justiniškių/2017/08/24/47287251/Teritorijos patikrinimo aktas Nr.1.pdf"
"2017-08-24 12:42:41",A32-1946/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017-08-24","Files/Justiniškių/2017/08/24/47284938/Konteinerių aikštelių patikrinimo aktas Nr. 4.pdf"
"2017-08-23 15:51:08",A32-1941/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS ATLIEKŲ KONTEINERIŲ 2017-08-22 D. PATIKROS AKTAS","Files/Justiniškių/2017/08/23/47277107/Viršuliškių seniūnijos atliekų konteinerių 2017-08-22 d. patikros aktas.pdf"
"2017-08-23 12:02:39",A32-1937/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS 2017-08-22 D. PATIKRINIMO AKTAS","Files/Justiniškių/2017/08/23/47272409/Viršuliškių seniūnijos 2017-08-22 d. teritorijos patikrinimo aktas..pdf"
"2017-08-18 12:39:16",A32-1908/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS 2017-08-17 D. TERITORIJOS PATIKRINIMO AKTAS.","Files/Justiniškių/2017/08/18/47236921/Viršuliškių seniūnijos teritorijos 2017-08-17 d. patikrinimo aktas.pdf"
"2017-08-17 15:09:47",A32-1897/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS 2017-08-16 D.SĄVARTYNŲ DEFEKTINIS AKTAS","Files/Justiniškių/2017/08/17/47228501/Defektinis aktas 2017-08-16 d..pdf"
"2017-08-17 14:57:44",A32-1894/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017-08-17","Files/Justiniškių/2017/08/17/47228324/Konteinerių aikštelių patikrinimo aktas Nr. 4.pdf"
"2017-08-17 07:48:32",A32-1886/17(2.1.15-S4),Justiniškių,"DEFEKTINIS AKTAS 2017.08.17","Files/Justiniškių/2017/08/17/47220570/Defektinis aktas Nr. 2.pdf"
"2017-08-16 13:09:07",A32-1881/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS ATLIEKŲ KONTEINERIŲ IR JŲ PASTATYMO VIETŲ BŪKLĖS ĮVERTINIMO 2017-08-16 D. AKTAS","Files/Justiniškių/2017/08/16/47214614/Viršuliškių seniūnijos atliekų ir antrinių žaliavų konteinerių aikštelių 207-08-16 d. patikrinimo aktas..pdf"
"2017-08-16 08:35:35",A32-1880/17(2.1.15-S4),Justiniškių,"JUSTINIŠKIŲ SENIŪNIJOS SUSISIEKIMO KOMUNIKACIJŲ BŪKLĖS AKTAS 2017.08.16","Files/Justiniškių/2017/08/16/47209897/Susisiekimo komunikacijų buklės aktas Nr. 3.pdf"
"2017-08-11 09:43:53",A32-1861/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017.08.10","Files/Justiniškių/2017/08/11/47188315/Teritorijos patikrinimo aktas Nr.1.docx"
